DESCRIPTION,NAME,GEOMETRY,TYPE
"Dallas, TX 75212",Four Corners Brewing,"<Point><coordinates>-96.8309,32.779129,0.0</coordinates></Point>",Brewery
,Franconia Brewing Co,"<Point><coordinates>-96.609066,33.213417,0.0</coordinates></Point>",Brewery
,Goliad Brewing,"<Point><coordinates>-97.397999,28.693364,0.0</coordinates></Point>",Brewery
,Grapevine Craft Brewery,"<Point><coordinates>-97.07474,32.932573,0.0</coordinates></Point>",Brewery
"New Braunfels, TX 78132",Guadalupe Brewing Company,"<Point><coordinates>-98.163353,29.684762,0.0</coordinates></Point>",Brewery
,Hops & Grain Brewing,"<Point><coordinates>-97.712601,30.258279,0.0</coordinates></Point>",Brewery
"<img src=""https://lh5.googleusercontent.com/proxy/OK7C1TektjvPOCMdHC4PH_xlV9HKMYpDrM-Ld_d5IPauo8o2vrAAlEGZEKWSnOHu2Uw7kE_Jiynxr-wTs5zAhTTE2_G646qmi8VSfwKWJcqIwKQPnreV94fRU98EkFaXIM1kD8r8yxA"" height=""200"" width=""auto"" /><br><br>Austin, TX 78736",Jester King Craft Brewery,"<Point><coordinates>-97.995129,30.233431,0.0</coordinates></Point>",Brewery
"Houston, TX 77092",Karbach Brewing,"<Point><coordinates>-95.460598,29.80585,0.0</coordinates></Point>",Brewery
,"Lakewood Brewing Company, LLC","<Point><coordinates>-96.681358,32.890046,0.0</coordinates></Point>",Brewery
,Live Oak Brewing Co,"<Point><coordinates>-97.705546,30.254148,0.0</coordinates></Point>",Brewery
"<img src=""https://lh6.googleusercontent.com/proxy/pc245TevZEuZSxC-FL2K7tytUVjJ52kmuuIaWwToiH7nP0YVbZfmeA8CVFw5AOJcw7bRW1N2CbDGKjdZ4Aw5Og4cD3mlBHtoFIrJtLqvhyitSIb_rK13Hy26RIpMd5WbPqE-__meYJ8BPA"" height=""200"" width=""auto"" /><br><br>Magnolia, TX 77355",Lone Pint Brewery,"<Point><coordinates>-95.751408,30.208922,0.0</coordinates></Point>",Brewery
,Independence Brewing Co.,"<Point><coordinates>-97.736134,30.211182,0.0</coordinates></Point>",Brewery
"<img src=""https://lh3.googleusercontent.com/proxy/lGOfiUD3MXLZy7dW4nicBhWq8SoglGC8i_Hx_B7zjpN0C6y22JOQ5-1JcvLOXfyDxEGIr1ucXqxZMJv6x-ZdrBi2nueBErlAAq-DyMqW6WGSOeUpxF7XSTxcUpq2BbrlkhD44R1zxmjMaQ"" height=""200"" width=""auto"" /><br><br>Fort Worth, TX 76111",Martin House Brewing,"<Point><coordinates>-97.30983,32.763656,0.0</coordinates></Point>",Brewery
"New Braunfels, TX 78130",New Braunfels Brewing Co.,"<Point><coordinates>-98.146634,29.721671,0.0</coordinates></Point>",Brewery
"<img src=""https://lh6.googleusercontent.com/proxy/DqEhgYI3EhMAo3xs58OdcE8k_LTnyBCL9889tP98DuhjbR-jYayA83EtO4zcJbU2fwxicG4OiGhYzOXBRUTujP3OpWDK4CqzDPyumoqmHYaMbiIpijiT-fyz9N96HAAySWXuIw"" height=""200"" width=""auto"" /><br><br>College Station, TX 77845",New Republic Brewing Company,"<Point><coordinates>-96.350458,30.564839,0.0</coordinates></Point>",Brewery
,Nine Band Brewing,"<Point><coordinates>-96.672789,33.092748,0.0</coordinates></Point>",Brewery
,No Label Brewing Co.,"<Point><coordinates>-95.816373,29.786649,0.0</coordinates></Point>",Brewery
,Old Omen Brewing,"<Point><coordinates>-95.266527,32.311778,0.0</coordinates></Point>",Brewery
"Fredericksburg, TX 78624",Pedernales Brewing,"<Point><coordinates>-98.868388,30.239188,0.0</coordinates></Point>",Brewery
,Peticolas Brewing Company,"<Point><coordinates>-96.828527,32.796298,0.0</coordinates></Point>",Brewery
,Rabbit Hole Brewing,"<Point><coordinates>-97.292447,33.089847,0.0</coordinates></Point>",Brewery
,Rahr & Sons Brewery,"<Point><coordinates>-97.327385,32.736642,0.0</coordinates></Point>",Brewery
,Ranger Creek Brewing & Distilling,"<Point><coordinates>-98.396958,29.529789,0.0</coordinates></Point>",Brewery
,Real Ale Brewing,"<Point><coordinates>-98.412824,30.112761,0.0</coordinates></Point>",Brewery
"<img src=""https://lh4.googleusercontent.com/proxy/sD1cA41xOk7EuJblwOJQQP2xlrBEXoFg5ywVD4B8Iq5Y5mqw0URVks-VlyQM6dKQMiD3QZOwJN1E4XyZj9uIQ7UJzDT-hchN5DEiX0s776YpXqD8ipoWZnJpr9miMAD6Fmnbfw"" height=""200"" width=""auto"" /><br><br>Granbury, TX 76049",Revolver Brewing,"<Point><coordinates>-97.670569,32.419571,0.0</coordinates></Point>",Brewery
"<img src=""https://lh5.googleusercontent.com/proxy/pqDgowTX1OX5wryiXV6iXcljPb9ZnBikqaulmxyxoitK8diCmywhGZ2gKxNF-kd3Gb85YyM5hkKK_4uEWOJXThq27mTFaNavhN918NxMTTSB8wyFmYcsYwn0LdIbX6ZZMjdZOuGhvUg"" height=""200"" width=""auto"" /><br><br>Austin, TX 78745",South Austin Brewing,"<Point><coordinates>-97.762719,30.215364,0.0</coordinates></Point>",Brewery
,Southern Star Brewing,"<Point><coordinates>-95.442687,30.348948,0.0</coordinates></Point>",Brewery
,Spoetzl Brewery,"<Point><coordinates>-97.167378,29.433319,0.0</coordinates></Point>",Brewery
,St Arnold Brewing Co,"<Point><coordinates>-95.348451,29.771213,0.0</coordinates></Point>",Brewery
,Texas Ale Project,"<Point><coordinates>-96.81806,32.786156,0.0</coordinates></Point>",Brewery
"Buna, TX 77612",Texas Big Beer Brewery,"<Point><coordinates>-93.863261,30.458006,0.0</coordinates></Point>",Brewery
"<img src=""https://lh5.googleusercontent.com/proxy/3XOwj5RDJntS5Ke1aGtDbKy4UeYjyz3A2l4xDc6YQcNmZfJ-Lc5w6TAdA6gmYwPzwtrelGFvsd2YcAY7gBZQAa7ye62tp2NKh8EJHpeF0PCeZQQZK3l5wV2CFe9kSKYHL2mJat5sQ4OFfA"" height=""200"" width=""auto"" /><br><br>Richmond, TX 77406",Texian Brewing Co.,"<Point><coordinates>-95.743339,29.613979,0.0</coordinates></Point>",Brewery
"<img src=""https://lh4.googleusercontent.com/proxy/Th4MjDanUJfIj2dK5m1YeXbU7Fa7ISJb4w1nVOuzYyRADl5huDur_ktp6Fop7UujftxC4k31v-Bh9j9TsQoFZR1LcypOw3O7TCE6dGlOLQjzIS9f9MoPjGeuZI8nDwFP80oJEtKKbmg"" height=""200"" width=""auto"" /><br><br>Austin, TX 78736",Thirsty Planet Brewing Co.,"<Point><coordinates>-97.952206,30.225811,0.0</coordinates></Point>",Brewery
,Twisted X Brewing Company,"<Point><coordinates>-97.877207,30.514976,0.0</coordinates></Point>",Brewery
"10611 PR 1320, Wolfforth, TX",Wicked Beaver Brewing,"<Point><coordinates>-102.022623,33.494885,0.0</coordinates></Point>",Brewery
"<img src=""https://lh5.googleusercontent.com/proxy/ccRx95exZ9vp1o04pQmOdpYyKYk8wksNHgPaVlz9kLGdh43CXV7rRdIycNQ6lcizwzmqbeUxFpgC7CBpi0GDJupU45-RVKU-6i8-B8UPaQzo6zhRfmxN_1yPlLqlLs71uB3Daq9fKts"" height=""200"" width=""auto"" /><br><br>Dripping Springs, TX 78620",The Barber Shop,"<Point><coordinates>-98.088786,30.192603,0.0</coordinates></Point>",Brewery
,Bastrop Brewhouse,"<Point><coordinates>-97.320993,30.109823,0.0</coordinates></Point>",Brewery
"<img src=""https://lh6.googleusercontent.com/proxy/jLqC3W8nLKTMA-tC1PMXBpTrGRt6xHsV9fT10ufYvsdtxDKLJiYrkIT2BkV3obkRDePYBlzUPzeQnpTy4Vcv13ME-1Eo458hmnLBPabMyIdF5_SQZj_PGXMxIhm1F-k5SpGtaUeAkJMw"" height=""200"" width=""auto"" /><br><br>Amarillo, TX 79118",Big Texan Brewery,"<Point><coordinates>-101.743988,35.193072,0.0</coordinates></Point>",Brewery
,Black Star Co-op Pub & Brewery,"<Point><coordinates>-97.718893,30.33825,0.0</coordinates></Point>",Brewery
,Blue Star Brewing,"<Point><coordinates>-98.495495,29.410061,0.0</coordinates></Point>",Brewery
"<img src=""https://lh3.googleusercontent.com/proxy/tpUr26iU7AAwz-TWl_qTL7urKc22QwVZ6-dB3vxbqlUNUXWnPRth-hSvRJUisEHmZbBoxSlz8wshW4lRBeQ5656LHEjOh4QMXBRztXbx8R3oH4cI5VKw3Yi66xNT3SBAlP6lVtXff4c"" height=""200"" width=""auto"" /><br><br>Galveston, TX 77550",Brews Brothers Brew Pub,"<Point><coordinates>-94.79581,29.306789,0.0</coordinates></Point>",Brewery
,Darkside Fermentation,"<Point><coordinates>-97.940385,29.883667,0.0</coordinates></Point>",Brewery
,Draught House Pub & Brewery,"<Point><coordinates>-97.742786,30.31096,0.0</coordinates></Point>",Brewery
,Dodging Duck Brewhaus,"<Point><coordinates>-98.725933,29.78989,0.0</coordinates></Point>",Brewery
"Marble Falls, TX 78654",Double Horn Brewing,"<Point><coordinates>-98.276766,30.571103,0.0</coordinates></Point>",Brewery
,Eola School Restaurant,"<Point><coordinates>-100.088818,31.400975,0.0</coordinates></Point>",Brewery
,Faust Hotel,"<Point><coordinates>-98.122743,29.701674,0.0</coordinates></Point>",Brewery
,Fredericksburg Brewing Co,"<Point><coordinates>-98.869634,30.272694,0.0</coordinates></Point>",Brewery
,Freetail Brewing Co.,"<Point><coordinates>-98.561675,29.601633,0.0</coordinates></Point>",Brewery
,Jaxon's Restaurant & Brewery,"<Point><coordinates>-106.392521,31.78132,0.0</coordinates></Point>",Brewery
"<img src=""https://lh4.googleusercontent.com/proxy/B90jG_MElrGLjy0X_a7qoszHBQKD2R2O8CrjEx1iB6wJPqeS9fxo4TP-0HAZwoan-a_56WlRJb1gSRA4zwcdaZMq-XLq3eMNhjsSrPIu9e5CwrWZyg1vyvkAcOESYFdhcaBOA393cf4"" height=""200"" width=""auto"" /><br><br>Wimberley, TX 78676",Middleton Brewing Company,"<Point><coordinates>-98.101616,30.046151,0.0</coordinates></Point>",Brewery
,North by Northwest Restaurant & Brewery,"<Point><coordinates>-97.738493,30.390948,0.0</coordinates></Point>",Brewery
"<img src=""https://lh5.googleusercontent.com/proxy/aKm_jMTgZ5af9eY_y5_96nqMno-K7sg8UxKac-cfBSTXODn5oh7pNT7jh3hOKlJzv0oZAp-CoR0Kpl4zKzb-7hjV5id-0UYgenM5yEQu9g6LOcwqSfXPa8C-_2oGBGZfOHhGwg"" height=""200"" width=""auto"" /><br><br>Round Rock, TX 78681",Flix Brewhouse,"<Point><coordinates>-97.678456,30.491506,0.0</coordinates></Point>",Brewery
,Middleton Brewing LLC,"<Point><coordinates>-98.091741,29.941055,0.0</coordinates></Point>",Brewery
,Padre Island Brewing Co.,"<Point><coordinates>-97.168482,26.109241,0.0</coordinates></Point>",Brewery
"<img src=""https://lh3.googleusercontent.com/proxy/3rw0VSHv0kd7E2JGrI73in0Q4ta87879g0Ja4njwww5cFbEfS3SEXgjnAl0tgXZPgXkNqHIAQCSxQgMB51s-4J_T-3oihCRfzczZkpMtjDYNteEtvt___jzumzX5a9vR5-Z4tQ"" height=""200"" width=""auto"" /><br><br>Johnson City, TX 78636",Pecan Street Brewing,"<Point><coordinates>-98.41193,30.277681,0.0</coordinates></Point>",Brewery
,Pinthouse Pizza,"<Point><coordinates>-97.738915,30.318691,0.0</coordinates></Point>",Brewery
,Port Aransas Brewing Company,"<Point><coordinates>-97.061104,27.836185,0.0</coordinates></Point>",Brewery
,Uncle Billy's,"<Point><coordinates>-97.761326,30.262062,0.0</coordinates></Point>",Brewery
,Whip In,"<Point><coordinates>-97.739484,30.238017,0.0</coordinates></Point>",Brewery
"<img src=""https://lh3.googleusercontent.com/proxy/Nxhtjvud3iPw_aTehgilRExJGlI0eIAF5KcKvGmdm5mwLP_v5zuK3GwqqfCQlSiN5ct-A8gTXGrFVtAUGv9ApUEhQ3DNStTBifuNBbGCcpMfqAotpWtzu8V-RDdr07jQsYjj04CSZnE"" height=""200"" width=""auto"" /><br><br>Fort Worth, TX 76104",Chimera Brewing Co,"<Point><coordinates>-97.335319,32.730385,0.0</coordinates></Point>",Brewery
"<img src=""https://lh4.googleusercontent.com/proxy/Kn1oF3hvGY3bkb_lwqhI8IxXDN23OX3NU1d1mMoxgY54wBoEspNUUl-uPZ5XQFMQ7IMQsStY-xJFgjYs0cgLH0Mx-bIH1Oi3sfjLlsT_1zGkj2Rf5RM74F7ZnE4757TuPsEgvRaxR1V7ZQ"" height=""200"" width=""auto"" /><br><br>Conroe, TX 77304",B52 Brewing,"<Point><coordinates>-95.551336,30.339388,0.0</coordinates></Point>",Brewery
"<img src=""https://lh4.googleusercontent.com/proxy/is-ZNhVH7aLacy1fMWUB-Rcjt1q4LCOi6Fp6J7ejz4FT4vxN-XtJ0a6DE5Kc7CpeacI4ObICgPBYB_dsotU1yLaWWpYK3siEF3MtDODJ8oSRTfekhsX-75jbdLxV7pJerz-ohGmfuq4"" height=""200"" width=""auto"" /><br><br>Houston, TX 77019",Ballyhoo Brewing,"<Point><coordinates>-95.402261,29.755887,0.0</coordinates></Point>",Brewery
"<img src=""https://lh4.googleusercontent.com/proxy/dlj2tNnSw-TULlg4CPNrBs8Dp3X-5Nh4eNiRZMGpCzijsiLdZU2lklfDZ-XvswDPz8ERZI8AvT82-nGaYC0qY1Q3Cc1tSvq_zZVSvFKj7S0Wvv2FBstQh22spg8mnkFH5F6vLGTYNOmuSQ"" height=""200"" width=""auto"" /><br><br>San Antonio, TX 78247",Branchline Brewing Co.,"<Point><coordinates>-98.428435,29.560266,0.0</coordinates></Point>",Brewery
"<img src=""https://lh4.googleusercontent.com/proxy/MqZImUH0XNSr5l_8FIIiMzrSjaje530b8ACIHmu8bgcRzebAncrmEbmLmjDkAHbWgVeWwIIj2uIXyiZOKPDSQcTpxUzGLr5BwSxkPNOMpYkhqPh3Mw8ThAAF_v35RMznCUlH4Bk8e2Q"" height=""200"" width=""auto"" /><br><br>Austin, TX 78701",Brewery Dada,"<Point><coordinates>-97.743171,30.267119,0.0</coordinates></Point>",Brewery
"Stafford, TX 77477",Kreuz Creek Brewing,"<Point><coordinates>-95.593799,29.634043,0.0</coordinates></Point>",Brewery
"<img src=""https://lh4.googleusercontent.com/proxy/I6gCRaqzlW8oMrPHBSuCBAneHnT5gXxOUGJJVo8GhK4LXlVIgLZe3fwTLbsHFqoU-NgxdD_ngzS2F1fiLmgjHSpVB0e6zSrTeInhB4-OcJrsAU9QA0lL9hvvEQ9QU7FJfdiPNg13JkFh"" height=""200"" width=""auto"" /><br><br>Lubbock, TX 79415",Yellow House Canyon Brew Works,"<Point><coordinates>-101.8705,33.605248,0.0</coordinates></Point>",Brewery
"Becker Vineyards<br>464 Becker Farms Road, Stonewall TX 78671<br>P.O. Box 393, Stonewall TX 78671<br>(830) 644-2681<br>Fax: (830) 644-2689<br><br>Richard and Bunny Becker, Owners<br><br>Website: www.beckervineyards.com (http://www.beckervineyards.com/)",Becker Vineyards,"<Point><coordinates>-98.708513,30.202946,0.0</coordinates></Point>",Winery
"Alamosa Wine Cellars<br>677 County Road 430, Bend TX 76824<br>P.O. Box 212, Bend TX 76824<br>(325) 628-3313<br>(512) 335-0051 ext. 103<br><br>Karen and Jim Johnson, Owners and Growers<br>Jim Johnson, Winemaker<br><br>Website: www.alamosawinecellars.com (http://www.alamosawinecellars.com/)",Alamosa Wine Cellars,"<Point><coordinates>-98.546333,31.101746,0.0</coordinates></Point>",Winery
"The Bella Vista Cellars<br>3101 Mount Sharp Road,<br>Wimberley TX 78676<br>(512) 847-6514<br><br>Pat and Jack Dougherty, Owners<br><br>Website: www.bvranch.com (http://www.bvranch.com/)",The Bella Vista Cellars,"<Point><coordinates>-98.149477,30.076291,0.0</coordinates></Point>",Winery
"Bell Mountain Vineyards<br>463 Bell Mountain Road, Fredericksburg TX 78624<br>P.O. Box 756, Fredericksburg TX 78624<br>(830) 685-3297<br>Fax: (830) 685-3657<br><br>Evelyn and Bob Oberhelman, Owners<br><br>Website: www.bellmountainwine.com (http://www.bellmountainwine.com/)",Bell Mountain Vineyards,"<Point><coordinates>-98.730413,30.433871,0.0</coordinates></Point>",Winery
"Brennan Vineyards<br>802 South Austin Street,<br>P.O. Box 399, Comanche TX 76442<br>(325) 356-9100<br>Fax: (325) 356-5556<br>Cell: (325) 330-0878<br><br>Website: www.brennanvineyards.com (http://www.brennanvineyards.com/)",Brennan Vineyards,"<Point><coordinates>-98.603833,31.891663,0.0</coordinates></Point>",Winery
"Chisholm Trail Winery<br>2367 Usener Road, Fredericksburg TX 78624<br>P.O. Box 1274, Fredericksburg TX 78624<br>(830) 990-CORK (2675) or (877) 990-2675<br>Fax: (830) 990-9965<br><br>Website: www.chisholmtrailwinery.com (http://www.chisholmtrailwinery.com/)",Chisholm Trail Winery,"<Point><coordinates>-99.035711,30.26609,0.0</coordinates></Point>",Winery
"Comfort Cellars Winery<br>723 Front Street, Comfort TX 78013<br>P.O. Box 324, Comfort TX 78013<br>Phone and Fax: (830) 995-3274<br><br>Catherine Winmill, Owner<br><br>Website: www.comfortcellars.com/Wine.htm (http://www.comfortcellars.com/Wine.htm)",Comfort Cellars Winery,"<Point><coordinates>-98.906823,29.968059,0.0</coordinates></Point>",Winery
"Driftwood Vineyards<br>4001 Elder Hill Road, Driftwood TX 78619<br>(512) 692-6229 or (512) 858-4508<br>Fax: (512) 858-2020<br><br>Gary and Kathy Elliott, Owners<br><br>Website: www.driftwoodvineyards.com (http://www.driftwoodvineyards.com/)",Driftwood Vineyards,"<Point><coordinates>-98.036299,30.12265,0.0</coordinates></Point>",Winery
"Dry Comal Creek Vineyard & Winery<br>1742 Herbelin Rd.<br>New Braunfels, TX 78132<br>(830) 885-4076<br><br>Website: www.drycomalcreek.com (http://www.drycomalcreek.com/)",Dry Comal Creek Vineyard & Winery,"<Point><coordinates>-98.275398,29.771762,0.0</coordinates></Point>",Winery
"Fall Creek Vineyards<br>1820 County Road 222, Tow TX 78672<br>(325) 379-5361<br>Business Office: 1402 San Antonio Street, Suite 200, Austin TX 78701<br>(512) 476-4477<br>Fax: (512) 476-6116<br><br>Susan and Ed Auler, Owners<br><br>Website: www.fcv.com (http://www.fcv.com/)",Fall Creek Vineyards,"<Point><coordinates>-98.456243,30.902247,0.0</coordinates></Point>",Winery
"Fawn Crest Vineyard<br>1370 Westside Circle, Canyon Lake TX 78133<br>(830) 935-2407 or (281) 413-2045 (cell)<br>Fax: (281) 392-5010<br><br>Patty and Wayne McNeil, Owners<br><br>Website: www.fawncrest.com (http://www.fawncrest.com/)",Fawn Crest Vineyard,"<Point><coordinates>-98.288437,29.922854,0.0</coordinates></Point>",Winery
"Flat Creek Estate<br>24912 Singleton Bend East, Marble Falls TX 78654<br>(Located off 1431, 6 miles west of Lago Vista)<br>(512) 267-6310 or (512) 267-1802<br>Fax: (512) 267-6321<br>Open:  Tuesday thru Friday, Noon to 5pm; Saturday, 10am to 5pm; Sunday, Noon to 5pm<br>Madelyn and Rick Naber, Owners<br>Website: www.flatcreekestate.com (http://www.flatcreekestate.com/)",Flat Creek Estate,"<Point><coordinates>-98.044569,30.481197,0.0</coordinates></Point>",Winery
"Fredericksburg Winery<br>247 West Main Street, Fredericksburg TX 78624<br>(830) 990-8747<br>Fax: (830) 990-8566<br><br>The Switzer Family, Owners<br><br>Website: www.fbgwinery.com (http://www.fbgwinery.com/)",Fredericksburg Winery,"<Point><coordinates>-98.874879,30.276918,0.0</coordinates></Point>",Winery
"Grape Creek Vineyards<br>97 Vineyard Lane, Stonewall TX 78671<br>P.O. Box 102, Stonewall TX 78671<br>(830) 644-2710<br>Fax: (830) 644-2746<br><br>Website: www.grapecreek.com (http://www.grapecreek.com/)",Grape Creek Vineyards,"<Point><coordinates>-98.723818,30.219351,0.0</coordinates></Point>",Winery
"Lost Creek Vineyard<br>1129 Ranch Road 2233, Sunrise Beach TX 78643<br>(325) 388-3753<br>Fax: (325) 388-0910<br><br>David Brinkman, Owner<br><br>Website: www.lostcreekvineyard.com (http://www.lostcreekvineyard.com/)",Lost Creek Vineyard,"<Point><coordinates>-98.439758,30.592751,0.0</coordinates></Point>",Winery
"Mandola Estate Winery<br>13308 FM 150 West, Driftwood TX 78619<br>(512) 858-1470<br>Fax: (512) 858-1340<br><br>Damian and Trina Mandola, Stan and Lisa Duchman, Owners<br><br>Website: www.mandolawines.com (http://www.mandolawines.com/)",Mandola Estate Winery,"<Point><coordinates>-98.0186,30.103,0.0</coordinates></Point>",Winery
"McReynolds Wines<br>706 Shovel Mountain Road, Cypress Mills TX 78663<br>(830) 825-3544<br>Fax: (830) 825-1105<br><br>Website: www.mcreynoldswines.com (http://www.mcreynoldswines.com/)",McReynolds Wines,"<Point><coordinates>-98.255457,30.394627,0.0</coordinates></Point>",Winery
"Pillar Bluff Vineyards<br>300 County Road 111, Lampasas TX 76550<br>(512) 556-4078<br>Fax: (512) 556-4078<br><br>Peggy and Gill Bledsoe, Owners<br><br>Website: www.pillarbluff.com (http://www.pillarbluff.com/)",Pillar Bluff Vineyard,"<Point><coordinates>-98.192024,31.077196,0.0</coordinates></Point>",Winery
"Poteet Country Winery<br>400 Tank Hollow Road, Poteet TX 78065<br>(830) 276-8085<br><br>Jim Collums, Owner<br><br>Website: www.poteetwine.com (http://www.poteetwine.com/)",Poteet Country Winery,"<Point><coordinates>-98.619148,29.036706,0.0</coordinates></Point>",Winery
"Rising Star Vineyards<br>1001 County Road 290, Rising Star TX 76471<br>(254) 643-1776 or (512) 899-9882<br>Fax: (512) 251-5548<br><br>Michael and Vicki Oubre, Owners<br><br>Website: www.risingstarvineyards.com (http://www.risingstarvineyards.com/)",Rising Star Vineyards,"<Point><coordinates>-98.933683,32.162219,0.0</coordinates></Point>",Winery
"Sandstone Cellars Winery<br>211 San Antonio Street, Mason TX 76856<br>P.O. Box 1246, Mason TX 76856<br>(325) 347-9463<br><br>Scott Haupert and Manny Silerio, Owners<br><br>Website: www.sandstonecellarswinery.com (http://www.sandstonecellarswinery.com/)",Sandstone Cellars Winery,"<Point><coordinates>-99.230803,30.747786,0.0</coordinates></Point>",Winery
"Singing Water Vineyards<br>316 Mill Dam Road, Comfort TX 78013<br>(830) 995-2246<br>Fax: (830) 995-3964<br><br>Dick and Julie Holmberg, Owners<br><br>Website: www.shopcomfort.com/singingwater (http://www.shopcomfort.com/singingwater/)",Singing Water Vineyards,"<Point><coordinates>-98.918021,29.928587,0.0</coordinates></Point>",Winery
"Sister Creek Vineyards<br>1142 Sisterdale Road, Sisterdale TX 78006<br>(12 miles north of Boerne on FM 1376 or 17 miles south of US Hwy 290)<br>(830) 324-6704<br>Fax: (830) 324-6704<br><br>Website: www.sistercreekvineyards.com (http://www.sistercreekvineyards.com/)",Sister Creek Vineyards,"<Point><coordinates>-98.721493,29.976626,0.0</coordinates></Point>",Winery
"Spicewood Vineyards<br>1419 Burnet County Road 409<br>Spicewood, TX 78669<br>(830) 693-5328<br><br>Website: www.spicewoodvineyards.com (http://www.spicewoodvineyards.com)",Spicewood Vineyards,"<Point><coordinates>-98.187733,30.457848,0.0</coordinates></Point>",Winery
"Stone House Vineyard<br>24350 Haynie Flat Rd.<br>Spicewood, TX 78669<br>(512) 264-3639<br><br>Website: www.stonehousevineyard.com (http://www.stonehousevineyard.com)",Stone House Vineyard,"<Point><coordinates>-98.095036,30.457257,0.0</coordinates></Point>",Winery
"Texas Hills Vineyard<br>878 Ranch Road 2766, Johnson City TX 78636<br>P.O. Box 1480, Johnson City TX 78636<br>(830) 868-2321<br>Fax: (830) 868-7027<br><br>Kathy and Gary Gilstrap and Dale Rassett, Owners<br><br>Website: www.texashillsvineyard.com (http://www.texashillsvineyard.com/)",Texas Hills Vineyard,"<Point><coordinates>-98.388405,30.275079,0.0</coordinates></Point>",Winery
"Texas Legato<br>2935 FM 1478, P.O. Box 1238, Lampasas TX 76550<br>(512) 556-9600 or (817) 313-9565<br>Fax: (512) 556-9601<br><br>Sulynn and Bill Bledsoe, Owners<br><br>Website: www.texaslegato.com (http://www.texaslegato.com/)",Texas Legato,"<Point><coordinates>-98.235111,31.029401,0.0</coordinates></Point>",Winery
"Three Dudes Winery<br>125 Old Martindale Road, San Marcos TX 78666<br>(512) 392-7044<br><br>Terry Alford, Ron Pontiff and Jeff Felderhoff, Owners<br><br>Website: www.threedudeswinery.com (http://www.threedudeswinery.com/)",Three Dudes Winery,"<Point><coordinates>-97.888238,29.86428,0.0</coordinates></Point>",Winery
"Torre di Pietra Winery<br>10915 East Hwy 290, Fredericksburg TX 78624<br>P.O. Box 1727, Fredericksburg TX 78624<br>(830) 644-2829<br>Fax: (830) 644-2830<br><br>Ken and Jenise Maxwell, Owners<br><br>Website: www.texashillcountrywine.com (http://www.texashillcountrywine.com/)",Torre di Pietra Winery,"<Point><coordinates>-98.875067,30.261956,0.0</coordinates></Point>",Winery
